"","Metabolite.name","Adduct.type","Average.Rt.min.","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
"134","5-Hydroxytryptophan","[M-H]-",5.09,0.00328627001338386,0.0198343806931965,0.000917795168674946,0.00985077026797664,0.00630659697462848,0.0240258344679221,0.0155071440995166,0.0277315388701966,0.0413792886010218,0.0102870724141754,0.00899703053904833,0.00491524346059119,0.0778334548057081,0.0751967773650461,0.109656869880228,0.00684604992330688,0.00395041825206945,0.00510604354403667,0.0182465519624138,0.017639943269686,0.0420914652826348,0.00577959779069163,0.0204452982834298,0.0119110012984495,0.0163489029914784,0.367648587338462,0.0250666434056265,0.0231934290363991
"135","Cystathionine","[M-H]-",1.696,0.0224117718903193,0.135421345940873,0.0467543526711893,0.0393031829933647,0.0358119331606393,0.0729759977419155,0.0982562988671788,0.0233269371668314,0.0154488164288875,0.0265158434456013,0.0203743255968676,0.0178304836950682,0.0112624373635993,0.023827638544927,0.0116426196717231,0.0312243591267983,0.0229766416442047,0.0259829099775264,0.0146509586342274,0.0114216222642248,0.00517416426527384,0.0184745021930129,0.0020040521156659,0.00196786892714437,0.00244728296951128,0.00196986560528469,0.138299943081996,0.122241844016144
"136","Cystathionine","[M-H]-",1.874,0.0282259648060823,0.170728800296484,0.00151424645760193,0.00142684381476768,0.0454016298641283,0.00527671642085312,0.123864411737984,0.0293799701011292,0.0194458158232753,0.03340111778402,0.00581104350576117,0.0224490510931791,0.00201024746364484,0.0300113446259164,0.019031422588914,0.0162851598811612,0.0289382543823214,0.0327290992319065,0.00257759865335187,0.0131961871612831,0.00721176377494159,0.0232611456686735,0.00249223420657823,0.00157083637175524,0.00223856538706142,0.00305216529690122,0.174358654300367,0.154109709299956
"137","Sinapic acid","[M-H]-",19.584,5.7048288663683e-05,0.0337329106535569,0.0139039996220893,0.0135906450451643,0.00370539869163778,0.000161609417165419,9.09155724236793e-05,4.58687969370823e-05,0.000223425430241917,8.87783166524174e-05,9.8258964048015e-05,8.71342737514467e-05,0.014323449767557,0.0177578005862547,0.0229885970828432,0.00817089321782434,0.00829282639964633,0.00615502261408411,0.00836773995450056,0.00672720434505194,0.00712588474853734,0.000187859302150918,0.199311047381919,0.185973036929204,0.195660395318884,0.132783042946949,0.0656362207640536,0.0547529855682078
"138","(E)-5-(2,3-dimethyl-4,5,6,7-tetrahydro-1H-tricyclo[2.2.1.02,6]heptan-3-yl)-2-methylpent-2-enoic acid","[M-H]-",23.876,0.0199166068610247,0.048348339764179,0.0279207393318076,0.0502165019049689,0.0202540649918051,0.0482425995103063,0.0299075430493111,0.0444802196159301,0.0517656725143388,0.0625653445677715,0.0481249698020507,0.0205568666278952,0.0294817993955604,0.0307329747440163,0.0514110126197704,0.0261322618320941,0.0495643526837155,0.0360247938128291,0.0387019447858798,0.00775192425759844,0.0158600262124524,0.0320084349354668,0.0476549569032575,0.0285076230375127,0.0240614730325672,0.0186439293078339,0.0575191565671654,0.0336438673308909
"139","Gly-Tyr","[M-H]-",2.844,0.0240948471727594,0.0282156664122142,0.0398795097665442,0.0353095602813047,0.04031658308092,0.0093672271401526,0.0102436927034305,0.0104597203651485,0.0250151318118487,0.0263126616365653,0.0250784307017457,0.0267505639604834,0.0259657822682079,0.029440302612169,0.0209311328211009,0.0901682944765673,0.070221874089152,0.0797987279440722,0.0550402509919987,0.0498768968583575,0.0221161790400066,0.026323541909269,0.0895904786458507,0.00530832001426355,0.00241540907924756,0.0717181140628881,0.02853297650012,0.0315081236536116
"140","Uridine","[M-H]-",20.306,8.06049575425122e-08,1.14966727897876e-07,1.10108906916632e-07,1.0185496673526e-07,9.35096767076366e-08,8.86202040314481e-08,0.00384155958318398,0.022485200320795,0.0136935353024008,0.0019432799440908,1.01716990553356e-07,8.96948368010742e-08,0.0380594033218346,0.0741276509757312,0.109357929691357,0.120192507916984,0.119650275807404,0.134420655469013,0.0901361859940163,0.102053431302022,0.170036887279739,1.06632430327701e-07,9.97848660006813e-08,9.96318627499148e-08,9.24088410695631e-08,1.07775175373231e-07,1.04031639134486e-07,1.05749346889647e-07
"141","Uridine","[M-H]-",26.433,7.90975401700475e-08,8.47103189072957e-08,7.96957285308054e-08,1.0682010148445e-07,9.82667928201829e-08,7.63718086386741e-08,0.00349502769166772,0.016975971410391,0.0115808735945452,0.00351793919505896,9.75142893841423e-08,9.27714392312102e-08,0.033876869681428,0.064915882256932,0.0987968456363723,0.116743485667382,0.12957023003279,0.137881427408504,0.122142347044304,0.0950527626398292,0.165448984069604,8.80962089888248e-08,1.04457053442839e-07,1.03964275080412e-07,7.88805427701293e-08,9.02361302392844e-08,9.55735284781583e-08,7.72154332143052e-08
"142","Uridine","[M-H]-",17.37,1.8409837481322e-07,1.91874094315315e-07,1.353936347306e-07,1.25750411288223e-07,1.94693549954778e-07,1.62556457430772e-07,1.49425222400106e-07,0.00456671040853374,0.00699194553881264,1.29936238159526e-07,1.61047484517568e-07,1.30567212306143e-07,0.0282875167362505,0.0741072075121761,0.11166127603531,0.125526107890848,0.128774846170813,0.146791455421425,0.100621561671592,0.114508174145353,0.158160448681994,1.6706044175783e-07,1.93414353767982e-07,1.82644433723493e-07,1.46514620264736e-07,1.61890141233696e-07,1.6186607609164e-07,1.71054145234146e-07
"143","Uridine","[M-H]-",2.827,0.00339748534929919,0.00298700397282992,0.0641702626505809,0.0290815371769899,0.0489025798242135,0.0363335041811913,0.033507210420359,0.0364549332954859,0.00609148556709771,0.00211938201213909,0.00286778630150014,0.00266268926999354,0.00263814449188979,0.200916058531771,0.25900094009336,0.0413820058331224,0.0343905985514787,0.0308251492582521,0.00310788084827395,0.0715328801612403,0.0208160327774156,0.00230568924113159,0.0115200792895586,0.0128945806444624,0.0117799076687736,0.0111083578632379,0.00946669479519299,0.00773913992915932
