Metabolite.name.mod,HyPea.7404_1,HyPep.4601N_3,HyPep.7504_1,HyPep.7504_2,HyPep.7504_3,HyPep.YE_1,HyPep.YE_2,HyPep.YE_3,HY.YEST.412_1,HY.YEST.412_2,HY.YEST.412_3,HyPea.7404_2,HY.YEST.466_1,HY.YEST.466_2,HY.YEST.466_3,HY.YEST.503_1,HY.YEST.503_2,HY.YEST.503_3,HY.YEST.555_1,HY.YEST.555_2,HY.YEST.555_3,HyPea.7404_3,HyPep.1510_1,HyPep.1510_2,HyPep.1510_3,HyPep.1510_4,HyPep.4601N_1,HyPep.4601N_2
Phosphonoacetic acid,-0.309773881,0.132867441,-0.157959287,-0.089900666,-0.144454441,-0.173317166,-0.246628446,0.104243445,-0.013181197,0.184790468,0.009860006,-0.467417888,-0.271729649,-0.052133387,0.025536566,0.373141613,1.120029524,0.82167091,0.499163695,1.061132557,0.858546467,-0.405221704,-0.578174783,-0.587920336,-0.540892012,-0.29780479,-0.130807607,0.025888525
Pimelic acid,1.098223723,-0.328727234,-0.469411319,0.205214742,0.345477258,-0.479541151,-0.467158158,-0.464321227,-0.594760563,-0.662405041,-0.532026815,1.175257354,-0.543656006,0.565319726,0.340701397,-0.432310913,2.62093571,-0.519604618,-0.393204043,1.030798006,-0.48396679,1.739113991,-0.400208235,-0.486315703,0.204134244,0.379354148,-0.489640237,-0.463246995
Pyridoxamine,-0.193664198,-0.349984845,-0.501877792,-0.485099721,-0.579252196,1.448204862,0.946184819,0.506090329,0.898502619,1.044233394,0.404942104,-0.225681144,0.118344614,0.261928684,0.083243719,0.102341538,0.852932684,0.02657673,-0.229636661,-0.211840723,-0.255444437,-0.407213937,-0.030273108,-0.582071891,-0.597899082,0.103620629,-0.418959565,-0.381739927
Pyroglutamic acid,-0.160536386,-0.187348071,-0.44076135,-0.458171661,-0.538909252,0.104121651,0.194151865,0.286688704,0.396238824,0.366122527,0.303026493,-0.316647216,0.251588635,0.18498106,0.155965565,0.228660784,0.793520731,0.376858254,0.339840957,0.445335908,0.317851572,-0.337887629,-0.369820038,-0.445511929,-0.482654906,-0.497728969,0.111245344,0.348860301
Quercetin-3-O-glucosyl-6''-acetate,-0.330044434,-0.452916116,2.61336437,3.265566838,2.449299206,-0.716802779,-0.640955003,-0.715545466,-0.769770093,-0.83937617,-0.560826063,-0.384085715,-0.727657848,-0.741146141,-0.702673632,-0.428308796,-0.723028667,-0.591270439,-0.547314532,-0.67113517,-0.263539262,-0.098633572,-0.025988617,0.163826991,0.222323609,-0.271047303,-0.636483307,-0.650204338
RETUSIN 7-METHYL ETHER,0.230310612,0.169948078,0.080415488,0.618124532,0.089218803,-0.522376799,-0.424246857,-0.230597113,-0.109974866,0.377487879,-0.032195702,0.728944528,-0.472933614,-0.443329971,-0.23706917,-0.090226756,-0.011226803,0.467455499,-0.329720178,-0.252976884,-0.466959365,0.828367046,-0.092193369,-0.107587981,-0.029382076,0.106056736,0.270887239,0.34122772
RUTOSIDE  (rutin),-0.32189901,-0.396971466,3.73293477,4.438597657,2.911835668,-0.711830903,-0.640973659,-0.71557385,-0.847078781,-0.910569874,-0.762851336,-0.47901478,-0.770166719,-0.776910915,-0.741430427,-0.566657159,-0.841166902,-0.712105266,-0.547330967,-0.671160735,-0.728060948,-0.49801202,-0.583107037,-0.651601944,-0.645677203,-0.637526239,-0.582580939,-0.517887007
Raffinose,-0.23670093,0.713690014,1.774065812,1.290046389,1.79896309,-0.669692545,-0.612338755,-0.678823407,-0.817816762,-0.887229135,-0.715542032,-0.252986492,-0.757189322,-0.749157542,-0.729694519,-0.527121447,-0.790240424,-0.664776356,-0.516466935,-0.626701686,-0.697731948,-0.331445835,0.232207513,0.290357239,0.32494067,0.324803406,0.949256159,0.909342822
Riboflavin,-0.33006202,-0.449837369,-0.491041511,-0.472741804,-0.583800808,-0.588558428,-0.562095946,-0.596498629,1.337237556,1.681778349,1.267375185,-0.48251331,2.248422741,1.719569202,1.940067562,-0.510508754,-0.65643601,-0.638873417,-0.213049337,-0.19984863,0.378108428,-0.505497616,-0.582518314,-0.652004151,-0.647255952,-0.639281315,-0.630993886,-0.644548385
S-Adenosyl-homocysteine,-0.312862748,-0.452683701,-0.534005397,-0.526277672,-0.633220086,0.268402884,-0.107537056,-0.628873078,-0.810759871,-0.875732645,-0.742293491,-0.430095243,2.625358138,1.097272015,4.572104802,-0.101166819,-0.401209401,-0.205004253,-0.380239193,-0.636085065,0.48423361,-0.487272019,-0.559557368,-0.628365938,-0.622370281,-0.614164963,-0.633217044,-0.645741307
Sebacic acid,-0.330060912,2.931985556,0.099073037,-0.184161856,0.355565554,-0.573632052,-0.640973245,-0.69069545,-0.828666578,-0.910570134,-0.762851388,0.47508176,-0.611533174,-0.714200465,-0.741430131,0.281661959,0.027361386,0.92105296,0.281627644,-0.109151817,-0.53109379,-0.057522767,-0.583106802,-0.652002614,-0.290683272,-0.639279647,1.380721562,2.486720857
Secoisolariciresinol,-0.247337737,-0.389487643,-0.271713653,-0.219725033,0.002908626,-0.654065636,-0.604870941,-0.71556136,-0.146285152,0.637263287,0.152406566,-0.396849822,1.427382925,0.341991225,0.372309921,0.077895269,0.221886117,-0.257519524,1.354032762,0.675136547,2.550734619,-0.33025518,-0.530673481,-0.651993859,-0.647692296,-0.569236341,-0.636490041,-0.650207766
Serine,-0.21936257,0.148525134,-0.390718215,-0.420158312,-0.453072047,0.682549854,0.744236034,0.446011958,0.470020774,0.524716242,0.538553645,-0.308499846,-0.004973737,0.477234195,0.411401402,-0.381240886,-0.530259063,-0.402956742,-0.455211999,-0.555078013,-0.395695787,-0.334246577,0.033991172,-0.070879454,-0.036601221,-0.074243776,0.391996206,0.318147267
Sinapic acid,-0.329117577,0.016587661,-0.37873753,-0.375277203,-0.58339353,-0.713588156,-0.639435831,-0.714491233,-0.841774333,-0.90829584,-0.760815247,-0.480315991,-0.545402728,-0.507867028,-0.447310301,-0.448683155,-0.614390818,-0.56790644,-0.405981578,-0.519767409,-0.589347756,-0.500231245,2.537133354,2.543498558,3.107182163,1.960246014,0.530539036,0.439072491
Sotalol,-0.328247516,-0.086843915,-0.299336898,-0.29076211,-0.503112322,5.302849808,3.202666325,1.796433101,-0.371792054,0.210596685,-0.276648153,-0.46924392,-0.757206435,-0.768649005,-0.600995993,-0.393726708,-0.14635096,-0.590622307,-0.475866252,-0.571277354,-0.613264627,-0.502462572,-0.329469541,-0.332529011,-0.308200898,-0.193424669,-0.2327578,0.033976988
Spermidine,-0.078406028,-0.306218618,0.02127564,0.003779514,0.006754962,0.266063402,0.163976192,0.370783496,0.585542029,0.320888348,0.416840706,-0.086874912,-0.146471473,-0.092197232,-0.104621235,-0.003275981,0.162661791,0.086260324,0.189455245,0.407334939,-0.090457725,-0.103279536,-0.118715413,-0.261796187,-0.111112974,-0.060407819,-0.37257348,-0.44523167
Spermine,-0.321360456,-0.45293114,-0.33131143,-0.331757183,-0.355521698,0.87444809,0.604846468,2.157469252,1.174271639,1.002429932,0.907095953,-0.444749567,-0.010390982,0.198188349,-0.117315635,0.170027503,0.749699835,0.164892926,0.103248725,0.137127188,0.01336777,-0.329826851,-0.583052323,-0.652003086,-0.64770277,-0.639280263,-0.609416875,-0.620900581
Succinic acid,-0.079997265,-0.344244482,-0.486618657,-0.484871422,-0.549526072,0.299338245,-0.000350705,0.228643173,0.24598619,-0.00524555,-0.168513753,-0.221584768,0.921097246,0.859727507,0.944869854,-0.228906429,-0.055457114,-0.106037564,0.875463213,1.118067418,0.882666678,-0.041865116,-0.560512991,-0.630154892,-0.623049311,-0.615136817,-0.452023638,-0.48220469
Sucrose,-0.100302204,0.086328026,-0.445009554,-0.291962247,-0.281705457,0.390060737,0.480496419,0.902905014,-0.603019317,-0.743462653,-0.32008754,-0.178821887,-0.751965412,-0.752352871,-0.723421625,-0.342095681,-0.472259265,-0.357680369,-0.502928229,-0.593705323,-0.714120473,-0.21230678,2.189591007,2.386689269,-0.610751308,2.350658402,0.11839333,0.120497825
Syringaldehyde,-0.248259458,0.493529186,-0.097871717,-0.085917661,-0.093253974,-0.627547504,-0.579017416,-0.631782171,-0.676502442,-0.766203191,-0.642794649,-0.476715154,-0.703079694,-0.130171764,-0.17135554,-0.286151694,-0.465627033,-0.513863679,-0.381292572,-0.353854866,-0.428736582,-0.363326778,0.824434387,1.373323773,1.283622816,1.52626748,0.939409391,1.385893856
Syringic acid,-0.327315104,-0.418140742,-0.499162897,-0.499544902,-0.576038657,-0.61357803,-0.5921237,-0.666901227,-0.790426323,-0.760024084,-0.692461824,-0.482512941,-0.64142926,-0.697253281,-0.639798671,-0.381545515,-0.392631569,-0.580128812,-0.417720363,-0.530171595,-0.359915343,-0.505497175,3.094030031,3.541503604,2.982258312,3.273320557,-0.572484183,-0.584068146
TRYPTOPHAN,-0.179645702,-0.000426876,-0.311654184,-0.359567074,-0.358062158,0.012264108,-0.14519213,-0.141783023,0.241810853,0.413890986,0.103511491,-0.31398635,0.395919849,-0.116763059,0.044221314,-0.178542016,-0.26344412,-0.23570166,0.166721094,0.37467319,-0.091633495,-0.275708253,0.243793241,0.341998437,0.331207612,0.356271788,0.140148959,0.07995598
Thiamine,0.89469385,0.322743015,-0.536279571,0.524833177,1.325190191,-0.601435315,-0.554958539,-0.494515332,-0.248366471,-0.445474393,-0.274746563,1.533486975,0.309355813,-0.141932248,-0.10649039,-0.075387179,0.312275786,0.372327989,-0.412423768,-0.487667832,-0.238753426,1.435239643,-0.575455737,-0.643129755,-0.637853186,-0.626265055,0.128519548,0.373025439
Thiazolidine-4-carboxylic acid,-0.31671828,0.322873238,-0.522303641,-0.505038103,-0.632768116,-0.532030454,-0.361788932,1.244433688,1.761334851,1.861265766,1.64114657,-0.458055409,-0.328615916,0.311212453,-0.238857327,-0.441996424,-0.517469392,-0.524425733,-0.075740861,-0.252011357,-0.473170976,-0.488021945,-0.091100508,-0.141051021,-0.068873092,-0.093401678,0.684897029,0.798575513
Threonine,-0.304365734,0.005252739,-0.43433117,-0.442529861,-0.48203508,1.303433951,0.729845608,0.50838708,0.837002027,0.725710969,0.626613923,-0.438988661,0.39231301,0.312924758,0.247110594,-0.207507996,-0.469599959,-0.273791005,0.003850946,-0.245387038,-0.149164665,-0.454934581,-0.304708772,-0.401279389,-0.412949987,-0.368036423,0.077448405,0.118513987
Thymidine-5'-monophosphate,-0.293845702,0.106007901,-0.404602027,-0.456609561,-0.474388898,-0.544930254,-0.617260817,-0.628036041,-0.786991904,-0.861124801,-0.690293329,-0.399080214,-0.720731863,-0.775415013,-0.708667843,2.044097263,3.473518922,3.241077425,0.37359654,0.381158345,2.681793002,-0.468271695,-0.583107615,-0.646169208,-0.640092028,-0.628667322,0.533177586,0.253190585
Thymine,-0.250427546,0.109261205,-0.450918762,-0.458975744,-0.484610722,3.114761266,0.880964436,-0.496864381,-0.662560119,-0.729821889,-0.627365856,-0.348407922,-0.399039978,0.536639973,-0.470570976,1.847557111,1.862689532,0.021712465,0.11844596,1.119356507,-0.331166949,-0.387979822,-0.505045279,-0.539084143,-0.600731772,-0.594021593,-0.407678561,-0.42901745
Trehalose-6-Phosphate,-0.263147934,-0.45292999,-0.393256023,-0.394805459,-0.413132347,1.089332545,-0.064432481,0.415485601,3.500365838,3.308758925,3.058975304,-0.431319873,-0.663128546,-0.357400044,-0.690113007,-0.292576092,0.129501707,0.17853229,-0.329815387,-0.477970534,-0.322035818,-0.338836706,-0.32581579,-0.410839159,-0.387587964,-0.482244126,-0.369654623,-0.564636225
Triptophenolide,2.158608254,-0.213990182,-0.327247157,-0.307683364,-0.360876827,-0.377214964,-0.311332789,-0.236957789,-0.403980819,-0.348307268,-0.327705617,0.045077133,-0.490120934,-0.518543302,-0.51798497,-0.366052261,-0.428927212,-0.209674469,0.890525237,-0.21551487,-0.301453331,-0.074940723,1.380221806,-0.362224077,-0.385668076,1.587105332,-0.376460057,1.509685874
Tryptamine,-0.310174021,-0.400790116,-0.483917674,-0.45398714,-0.544489487,-0.619862535,-0.593142998,-0.651957173,-0.678328139,-0.654756902,-0.630672476,-0.451712858,-0.716843294,5.349970617,5.92074082,-0.550610056,-0.841168428,-0.712106585,-0.547331982,-0.671162027,-0.728062063,-0.465597862,-0.5778621,-0.646953258,-0.640265876,-0.637504143,-0.536094548,-0.578128798
Tryptophan,-0.115514323,0.132359757,-0.151711177,-0.198612899,-0.097644637,0.013336167,-0.206367612,0.007468768,0.215341385,-0.221179727,0.465364785,-0.1808874,0.231001098,0.267749649,0.030481406,-0.251432802,-0.336428034,-0.53220657,0.193114038,-0.320516687,-0.102743711,-0.105722057,0.250948619,0.268340342,0.298220116,-0.05859464,0.142701624,0.103425261
Tyr-Tyr,-0.241859959,1.554386325,0.052491053,-0.263700387,-0.348001116,-0.67462746,-0.452410938,-0.656931619,-0.722414326,-0.332690327,-0.646436243,-0.284336206,-0.324214602,-0.334783496,-0.337639426,-0.269624211,-0.323091191,-0.038715219,-0.380486892,-0.442023508,-0.566266,-0.292927408,-0.100037199,-0.121261526,-0.068100475,-0.170977441,3.523158564,2.52719729
Tyramine,-0.330062061,-0.452931897,-0.548736192,-0.540514932,-0.641863633,-0.679893126,-0.556871547,-0.706370371,-0.836010384,-0.836874253,-0.735650763,-0.482513346,2.119450835,0.857132541,7.695518352,-0.546795495,-0.813676216,-0.691650941,-0.542283257,-0.671162266,-0.08257451,-0.505497658,-0.583108039,-0.652004174,-0.647703954,-0.639281347,-0.636501889,-0.6502246
Tyrosine,-0.132825304,0.005809383,-0.227216465,-0.226057941,-0.184386081,0.491746336,0.499305643,0.24054977,0.035070196,0.075041713,-0.040173291,-0.079504861,0.343681474,-0.14516359,-0.083375413,-0.18626599,-0.19805067,-0.168509872,-0.154004297,-0.158633159,0.266828038,-0.126533708,0.101696711,0.031772628,0.045074834,0.007465862,0.035157528,0.166218062
UDP-D-glucose,-0.330056936,-0.452928864,-0.546583679,-0.540511584,-0.641859931,-0.716816707,-0.640970349,-0.715569467,-0.84707576,-0.78468738,-0.76284712,-0.482507306,1.229534592,0.494765076,0.38031976,0.954680044,4.990683984,5.402063261,0.166304835,-0.241494354,0.341095751,-0.505490828,-0.583104552,-0.651999046,-0.647697948,-0.639276518,-0.636497041,-0.650219692
Uracil,-0.277264481,-0.433374023,-0.172689257,-0.333315908,-0.260849145,0.33507265,0.304403412,0.633356047,0.057715075,-0.017829202,-0.1737896,-0.422916834,0.44075355,1.048117833,1.730846545,-0.296714071,-0.259107848,-0.211033635,-0.111236912,0.317387309,1.296523273,-0.472066728,-0.508883311,-0.555973356,-0.563283193,-0.553364062,-0.560071646,-0.576361965
