"","Metabolite.name.mod","Average.Rt.min.","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2","Median_Intensity"
"1","(-)-Riboflavin",17.042,6.90338757484615e-08,5.27522256149355e-08,0.0042557517319999,0.00669832391136478,0.0029454409099912,0.0077907700566604,0.00806895608079595,0.00769745152695506,0.0948866765542072,0.140048889433399,0.198728496922224,5.78528105519772e-08,0.127196747164366,0.173678170736498,0.157506220472046,0.00186199872768443,0.0050929121058484,0.00127689727149513,0.00821333176479071,0.0122918667685995,0.041760484434384,6.64003628305623e-08,5.31677019100146e-08,6.87068066948052e-08,6.71589441754767e-08,5.30011458506354e-08,6.66692883834788e-08,5.86835281734291e-08,0.00467433191892415
"2","(2R)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one",24.6085,2.0197116653955e-06,1.47451114865172e-06,0.0124601928403836,0.00783809120168131,0.0137061610583444,0.00332682944595243,0.00531867615600396,0.0047155575115525,0.204556175787336,0.101418840102137,0.0756505494326622,3.86140856036797e-05,0.0107442386364075,0.0159147011949446,0.0297939280458642,0.459523058709341,0.00502802527447646,0.00198119042621086,0.00841576289886444,0.00639110690973175,0.0163473709988423,0.000310160591639906,1.11495919458858e-06,1.14632139978088e-06,2.02791512768579e-05,0.000418719625748648,0.0126528941808265,0.00342312023075927,0.00585489153286786
"3","(2R,3R,6R,8R,9S,12S,13R,14R,15R,16R)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]hexadec-4-en-11-one",19.0385,1.14457598214113e-07,0.00149448424328751,1.40571553865089e-07,1.42237466999128e-07,1.45549164866052e-07,1.27631816297161e-07,1.32777206708033e-07,1.36527911320264e-07,1.26181984689237e-07,1.31710324575273e-07,1.49370983824881e-07,0.000657936874200271,1.29085511711671e-07,1.42319825359648e-07,1.14472275810272e-07,1.30105127289401e-07,1.42265870431201e-07,1.44932883691516e-07,1.21946042876274e-07,1.22435708867284e-07,1.38389863246564e-07,1.43593562535145e-07,0.268696307305626,0.268947731502409,0.239175447623348,0.21253169618209,0.00849359026183175,1.29444524019886e-07,1.41404510432108e-07
"4","(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid",18.5125,7.6174200904217e-08,0.0038493416602646,0.301761793003832,0.345560889175772,0.232724025304671,0.00120647663521023,0.000677457036301951,7.45651554535546e-08,0.000923415205505238,0.000999220903644734,0.000627127581890254,7.30232914458018e-08,0.000832129491831639,7.84908607514204e-08,0.00242585593430639,0.0225597768493496,0.0125477212511862,0.0203496779976511,0.00209636735731364,0.00125532473896281,0.0016633082501679,6.30184151344118e-08,0.0109954705574474,0.00891170041894758,0.00921308293698315,0.00660783547626718,0.00750342642891546,0.00470821053165381,0.00226111164581002
"5","1-Acetylimidazole",4.05,0.00397497952779304,0.0436523339123446,0.0667568403819254,0.0649569550357053,0.0755163003449909,0.0581440791160879,0.0237125490170481,0.0190408684401373,0.0150263711096162,0.0430598192200999,0.027167908973593,0.00447240923876095,0.0126782498522414,0.0172033663178849,0.0138694701909257,0.0548307746411249,0.0491840860714903,0.0496002258621593,0.0127306710839573,0.0153707765832003,0.0191148234255747,0.0227430590487155,0.0574267359452386,0.051351323797604,0.0435923758668261,0.0510350467898187,0.0439503072294666,0.0398372929756693,0.0414485560978846
"6","1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine",20.25,0.00411871114372908,0.0337388702367998,0.00862781086841545,0.0182730219135067,0.0295195746150979,1.7403292190707e-07,1.84033224320408e-07,0.00290001069977864,0.267952716045822,0.0876634432045378,0.223965127896094,0.00351901230443141,0.0039996117683748,1.86013378175291e-07,0.00446090846696309,0.0271964145833802,0.0316722925418432,0.0394620745089235,0.0030707154274088,0.00223728242258675,0.0176026775792359,0.00492575057143293,0.032740904136808,0.0285900217174871,0.0167272249491511,0.0175156181681445,0.0399992691556427,0.0495203909948797,0.0175591478736902
"7","1-Lauroyl-2-hydroxy-sn-glycero-3-phosphocholine",21.207,1.41958481838921e-07,0.000267390717609444,0.00592738162574667,0.00946185109336399,0.0119136349583421,0.000253666025215263,1.64734618199434e-07,1.52024191457943e-07,0.365691780218112,0.139182587137546,0.238074052303241,0.0110218911288359,1.20789607897484e-07,1.39507754263695e-07,1.38593905213216e-07,0.121058890046953,0.040356133672666,0.0302635486893624,0.00993896474211961,0.0145322821887442,1.66971184542491e-07,1.44047825816682e-07,1.54562600172732e-07,0.0013135975325694,1.30347070406604e-07,0.000283764034851625,0.000457008178318527,1.22169162024494e-07,0.000370386106585076
"8","1-Methyladenosine",13.818,2.01286144437633e-08,0.0368018183728899,0.000166521417670445,0.000180702344823575,0.000149638034851592,9.5296387676386e-05,0.158126782422043,0.000125928861949208,0.000163066732077149,9.34158128574542e-05,0.0548341627551919,1.54776195674191e-08,0.000137351612701237,0.0409502967725341,0.00156526510762419,0.175369118218188,0.135520016408701,0.000456450334014346,0.00051290936913383,0.289172214827314,0.0889341105300791,0.00328437516562085,0.000129564639932476,0.00350794068613222,0.00568703934483958,0.00329739988751493,0.0005835354012226,0.00015504294618304,0.000548222385178215
"9","2'-Deoxyadenosine-5'-monophosphate",5.778,0.00712588725633631,0.077490183412211,0.00477720787226781,0.00504110957773452,0.00665424465951782,0.0122711170683936,0.00730307066988203,0.00391756024390652,0.00341461080334123,0.00255396402039227,0.00633351603687772,0.0138123962827474,0.000954359156983592,0.000550201126273563,0.000698742108306256,0.309112118352388,0.117720310255673,0.0606642536301871,0.074251257290534,0.0300256361453277,0.0168773029804063,0.0074761742021948,4.4292098782034e-08,0.00107209287256332,0.000691956183398372,0.000372601398316313,0.126805706184183,0.102032375917557,0.00689006595792706
"10","2'-O-Methyladenosine",14.48,0.00170396553259537,9.28153803153056e-05,0.0815346051228098,0.0766043610855222,0.0792102911843238,0.216920307928575,0.00045955526955246,0.0161287032323036,0.013966972968569,0.013117783999562,9.76296295119635e-05,0.000938012215039121,0.113823899892154,0.114890231704449,0.0110324407520245,0.0454736422085947,0.0309346026676124,0.0588247535679195,0.0189689639497455,0.00397250106432529,0.0264156529676265,0.00164265526786225,0.00368298424034973,0.00365745687557902,0.0006842643568749,0.00377712336501722,0.0178595407752485,0.043584282795937,0.0150478381004363
"11","2-[1-[1-hydroxy-10,13-dimethyl-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethyl]-4,5-dimethyl-2,3-dihydropyran-6-one",19.594,0.205235645326454,0.137253192262606,2.70898203184995e-07,0.00480532038887397,0.00673237627165373,0.00269924122427448,0.00163139224896916,0.00373983043192351,2.91514981002029e-07,3.22405410213845e-07,3.67908809913002e-07,0.191981631756181,0.00389919522745263,0.00364756660293297,3.821163948591e-07,0.0040239610871103,0.00422421553412387,0.0139142765964858,0.00267302990922035,0.00319463507879757,0.00700261492986183,0.222444159998943,0.00779524509709877,0.00200621405424324,0.00296214071426743,0.00301849504163381,0.125904217070468,0.0392097683026262,0.00381951282968807
"12","2-[2-[(Z)-pent-2-enyl]-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclopentyl]acetic acid",18.395,0.000190875414772269,0.000507904482912364,0.000164692123963046,0.00065971330371817,0.000713959810731505,0.000415303621708465,6.89322128687667e-05,0.000668124516309734,2.06587556759191e-08,0.000194286413426912,2.72227919250991e-08,0.000116414864595337,0.000270936979785518,1.97649650916379e-08,0.000138663878547215,2.5181924199524e-08,2.37549260748161e-08,0.00122642359724333,0.00515163029907423,0.000306481136220836,0.000583411589494698,0.000123663236736454,0.278339132731038,0.285723324636768,0.230828572833657,0.191781960342268,0.00124607560085588,0.000579399789940657,0.000360892378964651
"13","2-hydroxyquinoline",16.371,0.00305992072842546,0.0137360532690256,0.00634807499643074,0.0725529379386525,0.0059212870110881,0.165141491867167,0.137979926990814,0.055683947368417,0.0638117253396779,0.0792051486217751,0.0370501395394491,0.00348600078619973,0.00345696036616722,0.107121779808702,0.00404244724466049,0.0180031174667754,0.0175481201068066,0.00549380648790685,0.011638633171002,0.0187771285346689,0.0231359309114403,0.0212981047747883,0.0289088955546596,0.0277355825587516,0.0250551379389942,0.0306749747712313,0.00638781127863738,0.00674491456768579,0.0200376166547286
"14","2-methyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypyran-4-one",4.05,0.0322299441071091,0.00369267111288876,0.0101929627245204,0.0111285843378983,0.00829835220846431,8.22335817554911e-08,5.88649139578826e-08,7.4748086619922e-08,6.74466915846626e-08,7.35261725000845e-08,5.90355966187228e-08,0.0537529032526761,8.69490894537223e-08,5.95423402194751e-08,5.84041381985403e-08,8.32495082711994e-08,0.000893944134700462,6.90128232900146e-08,7.47176691330566e-08,7.34313083108411e-08,6.02895430415305e-08,0.0526590583520458,0.192257802245898,0.19606143891917,0.217631597664021,0.217779648623841,0.00140180484767776,0.00201830601762595,0.000447015541894958
"15","3-(5,7-dimethoxy-4-oxochromen-2-yl)propanoic acid",21.933,0.605657101790257,6.23974147788294e-06,6.74333061359933e-06,6.7634204868257e-06,6.32737894306829e-06,4.83589809867331e-06,4.86784228012603e-06,6.0493212722144e-06,6.10823641393386e-06,5.20417048179631e-06,4.90907044182522e-06,0.280699205748011,4.92964062728763e-06,4.65910815445774e-06,6.06302916378359e-06,6.47218322781407e-06,0.050525488940742,4.76849943572635e-06,5.70854389607834e-06,5.34419459731429e-06,4.94735010368359e-06,6.54021614431635e-06,0.0201761468905522,0.00416406224309002,6.36687794564138e-06,0.0151332604613515,5.08449216985733e-06,0.0235258013800213,6.1739889459084e-06
"16","3-Hydroxypyridine",2.331,0.0137901960795827,0.00335206288584699,0.153904209242506,0.134165158045998,0.323910882797056,0.0406333924058883,0.0271191263740657,0.0250744389061477,0.0149360725050042,0.0183820204810303,0.00421745232871234,0.0071375116792098,0.0282255134423827,0.0118488562228229,0.0123063847097209,0.0120323324860982,0.0143253820754334,0.01348810494441,0.0156846820832725,0.00970365928837145,0.0273661672902266,0.0142354911844781,0.015266618486715,0.0157923358448956,0.0137037550023522,0.0157043778282968,0.00782319274045667,0.00587062263901844,0.0146307272902188
"17","3-Hydroxytyramine",3.052,7.26174497335554e-08,0.00432935156962153,0.0303824558103242,0.0288402813975124,0.0375162969821578,0.13319955041913,0.0637324520609917,0.0689823751974666,0.0424304497959614,0.128156769173259,0.0147680980718094,0.00326711661546292,0.022649816636549,0.0416809525251231,0.0963539082115709,0.0413617859512587,0.0563894947723248,0.0393611354623978,0.0370504302130422,0.0317206268460268,0.0308739875204309,0.00247626183616345,0.00601888425309455,0.00359666053233161,0.00629340294144768,0.015189873788453,0.00879560813512192,0.00458190066351675,0.0306282216653776
"18","3-[(1R,3R,5R,8R,10S,13R,14S,17R)-1,14-dihydroxy-3-[(2S,3S,4R,5S,6R)-3-hydroxy-4-methoxy-6-methyl-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one",19.8,0.102466786199085,0.154942266751157,1.73692506227069e-07,2.06040022003929e-07,2.27233126242072e-07,0.00293907071170302,0.0036252184284135,0.00354438328507269,2.3143521330167e-07,2.24120049680007e-07,1.72215732259378e-07,0.125268478132153,0.00344991711756069,1.76620568012198e-07,2.17302471917697e-07,0.00385821384157229,2.24497597053559e-07,1.96700674762401e-07,0.00296379675554844,0.00345752513105159,1.81397397091436e-07,0.131865576830449,0.00768662963030522,0.0109813749727078,0.00815610746280612,0.00516045215076454,0.250240402238442,0.179391569105848,0.00345372112430614
