"","Metabolite.name","Adduct.type","Average.Rt.min.","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
"4","Serine","[M+H]+",1.7,0.0105072765890297,0.0966725248416225,0.0154430263283405,0.0124554843656421,0.0118961261579019,0.039679192628001,0.0519850884787911,0.0465580093450729,0.0491199477361285,0.0415611899715112,0.0542676533760994,0.0110007496201555,0.0586528115523351,0.077083621057078,0.103449619229324,0.00894394546933964,0.0139075734006371,0.0108197389273572,0.00527935484061516,0.00551501735508588,0.0145329193826757,0.0115826531232397,0.0197622316571489,0.0161950651697106,0.0172046263810486,0.0192207603733097,0.0870457754127658,0.0896580172300324
"5","Serine","[M+H]+",4.284,0.00465859090095334,0.0270679381627791,0.0140691467644548,0.00918360332283578,0.013104284369614,0.0685851589982193,0.0643546561492329,0.0377385901621274,0.0432975750463047,0.0813938868048988,0.0432214675954271,0.00451052905968403,0.0294041132103,0.131857480470298,0.105040907165915,0.0131504042808072,0.00983285057058907,0.00869673550512745,0.00665228678198372,0.00656104160013372,0.0142294496642569,0.00430948952246968,0.0489670959037902,0.0447382158893634,0.0395143637915736,0.0370077562156287,0.070796733506249,0.0180556485849829
"6","Serine","[M+H]+",2.314,0.00785432268353193,0.0394627677414269,0.0147770907544145,0.0125508206807258,0.015405870436102,0.061066389693952,0.0655165537397748,0.0501204323645777,0.064556182232032,0.0560997129570318,0.069491006261416,0.00535405078364172,0.0558218842364998,0.0848152696038678,0.101789312803938,0.0169966018853802,0.0169143712554648,0.0181136323579459,0.0068421224606338,0.00672624181559626,0.0209382992378372,0.00950327623660302,0.0351888731139608,0.026941458889342,0.0281826520916902,0.0277961738428703,0.051779967946847,0.0293946618928959
"7","Serine","[M+H]+",5.049,0.0102176079850162,0.0180395065498488,0.0133959747022684,0.00990387511047264,0.0137655584478283,0.0697363973898118,0.138466339157669,0.0396069476802287,0.0470840101032379,0.0389698529098215,0.0445479475078743,0.01025471028542,0.0355024627113602,0.0413948760767882,0.054277678710942,0.0109458982483486,0.00696828455113196,0.0157716555033703,0.00455565429123449,0.00412031044372313,0.0117249446624221,0.00962213707925698,0.0665527958474769,0.0637578959885344,0.0584765306361069,0.052976054101446,0.0527266548071768,0.0566374385111842
"8","Serine","[M+H]+",2.19,0.00677436912303762,0.0448862110603611,0.0119917385937543,0.00829591997419226,0.0133039089022474,0.0590694355998042,0.067189072980875,0.045578879285221,0.0582165308258004,0.0518014024515715,0.070540429279533,0.00810988002981868,0.0648041833938073,0.103055752839968,0.108913600970943,0.0146793546540891,0.00808913722135284,0.0156452089589533,0.00626931466198733,0.00601860325033026,0.0220813896375204,0.00407949307973979,0.030409528461275,0.0173381711357492,0.024351512228605,0.0240173389992018,0.0459818791286194,0.0585077532716422
"9","1-Acetylimidazole","[M+H]+",4.05,0.00397497952779304,0.0436523339123446,0.0667568403819254,0.0649569550357053,0.0755163003449909,0.0581440791160879,0.0237125490170481,0.0190408684401373,0.0150263711096162,0.0430598192200999,0.027167908973593,0.00447240923876095,0.0126782498522414,0.0172033663178849,0.0138694701909257,0.0548307746411249,0.0491840860714903,0.0496002258621593,0.0127306710839573,0.0153707765832003,0.0191148234255747,0.0227430590487155,0.0574267359452386,0.051351323797604,0.0435923758668261,0.0510350467898187,0.0439503072294666,0.0398372929756693
"10","Cytosine","[M+H]+",2.35,0.00148876484233995,0.00816986277669811,0.100965018023061,0.0326599139045666,0.0719540997089031,0.00761575887194933,0.0133626513651511,0.00391135607635557,0.00729984729466097,0.00202327284452316,0.000611037318767388,0.000410162025897287,0.0903771876879458,0.067073143706688,0.0792185497886125,0.097760112344842,0.0688300002813248,0.0820242658540535,0.0220184068866853,0.134869123852089,0.0416100084010106,0.00111172846475834,0.00124760200466338,0.00157289653548374,0.00118879791547649,0.00153902689448985,0.0324613593228029,0.0266260450062003
"11","Cytosine","[M+H]+",2.04,0.0090651252824597,0.0047771409797987,0.00519842400875149,0.00401433394837169,0.00648960626708113,0.027599296071507,0.0319870904979918,0.0278747647468135,0.0135204019554119,0.00733183048942555,0.0122276550668851,0.00200477742152913,0.0484914378181112,0.0359868439388383,0.0425038832422082,0.0566442423222209,0.0546353225861952,0.0616090913128653,0.191161534255744,0.0465006080199826,0.268546414118007,0.00845880959426393,0.00391580717291177,0.00439835787782983,0.00384568107254701,0.00428369744055566,0.0097963261979008,0.0071314962937915
"12","Histamine","[M+H]+",1.795,0.0228747946473759,0.00967682388485577,0.00586998171090075,0.0058957099155499,0.0057843245969724,0.0160516172708633,0.0101340699155707,0.00658726903139598,0.000892617522617633,0.00650195044647617,0.00340964562449494,0.0106122537335947,0.124928658489488,0.000744119222459895,0.00549541095640882,0.000357162016162284,0.00186604609321943,0.00187101273113926,0.00571671618032136,0.00249771803623941,0.646975805359584,0.0153828369836468,0.000656588605525372,0.0179727879438709,0.0244789120356578,0.0196036954976644,0.0135620471177473,0.0135994244301972
"13","Uracil","[M+H]+",2.846,0.00301432181333952,0.00224455699702644,0.0610258029287648,0.030912494638596,0.0477611686555408,0.0391611694428874,0.0327056940180722,0.0408021644539381,0.00853022617053491,0.00523626465019658,0.00248840003406055,0.00256190755355014,0.00863521494991425,0.180909165049897,0.294125937525202,0.0328539188084521,0.0299602413437915,0.0301517424702187,0.00651488114946062,0.058658125373161,0.0275277085115291,0.00195488706474172,0.00858476075555568,0.0101834522723106,0.00871777292207089,0.00877725236594232,0.00859711282142068,0.00740365525982494
