Sample,HyPea.7404_3,HyPep.1510_1,HyPep.1510_2,HyPep.1510_4,HyPep.4601N_1,HyPep.4601N_2,HyPep.1510_3,HyPep.7504_1,HyPep.7504_2,HyPep.7504_3,HyPep.4601N_3,HyPea.7404_2,HY.YEST.412_1,HY.YEST.412_2,HY.YEST.412_3,HY.YEST.466_1,HY.YEST.466_2,HY.YEST.466_3,HY.YEST.503_1,HY.YEST.503_2,HY.YEST.503_3,HY.YEST.555_1,HY.YEST.555_2,HY.YEST.555_3,HyPea.7404_1,HyPep.YE_2,HyPep.YE_3,HyPep.YE_1
"1,4-cyclohexanedicarboxylic acid",0.000158539,0.021207183,0.020199697,0.019025376,0.203168044,0.216063873,0.019520243,0.007012067,0.00634405,0.006564418,0.192159895,0.000295778,0.026894204,0.029116156,0.033374207,0.014211871,0.01534384,0.01727413,0.005568358,0.006545573,0.004222796,0.004516537,0.002375345,0.004541159,0.000593196,0.046074613,0.036453875,0.041174979
2'-deoxyadenosine 5'-monophosphate,0.006700086,6.34E-08,0.000673621,0.000329459,0.130009756,0.100023021,0.000346023,0.004738668,0.005218927,0.007006915,0.082817601,0.013195116,0.003313516,0.008682998,0.003357893,0.000681451,0.000455629,0.000946028,0.310336887,0.116222534,0.060734253,0.072389656,0.02861085,0.015706216,0.007699711,0.003906207,0.003914351,0.011982569
2'-deoxyinosine 5'-monophosphate,0.00428944,0.002759196,0.001961237,0.002250067,0.000314503,0.000599541,0.003328434,0.003567846,0.003167313,0.001318618,0.000318823,0.003999584,0.001660068,0.003894533,0.003860593,0.002729887,0.001758748,0.000744407,0.165081529,0.200300716,0.260560872,0.040007282,0.047338283,0.093278911,0.004106594,0.007952082,0.024149987,0.114700907
2'-o-methyladenosine,0.001642655,0.003682984,0.003657457,0.003777123,0.017859541,0.043584283,0.000684264,0.081534605,0.076604361,0.079210291,9.28E-05,0.000938012,0.013966973,0.013117784,9.76E-05,0.1138239,0.114890232,0.011032441,0.045473642,0.030934603,0.058824754,0.018968964,0.003972501,0.026415653,0.001703966,0.000459555,0.016128703,0.216920308
2'-o-methylinosine,3.09E-05,0.000507844,0.000849982,0.00084845,0.027817048,0.025163951,9.52E-05,0.003270476,0.002605606,0.002465943,0.026714804,1.79E-05,0.052309236,0.09350207,0.059347564,0.001485744,0.000765979,0.02046569,0.138171939,0.078951017,0.150500121,0.065849963,0.106122345,0.072266316,0.000382479,0.0279082,0.001237057,0.040346172
"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-[[(2s,3r,4s,5r)-3,4,5-trihydroxyoxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",9.31E-08,0.043408406,0.015367955,0.009114073,7.70E-08,8.64E-08,0.010669857,0.332337406,0.366931347,0.22216938,8.24E-08,8.02E-08,7.06E-08,5.99E-08,7.04E-08,7.13E-08,7.81E-08,6.33E-08,9.36E-08,7.47E-08,8.42E-08,6.52E-08,6.17E-08,6.99E-08,6.34E-08,8.91E-08,6.54E-08,7.54E-08
"2-[(2s,4ar,8as)-2-hydroxy-4a-methyl-8-methylidene-3,4,5,6,7,8a-hexahydro-1h-naphthalen-2-yl]prop-2-enoic acid",0.034079222,0.025576663,0.038817507,0.038099473,0.0408193,0.033011715,0.02277264,0.026484789,0.035221139,0.032750119,0.027297482,0.036105528,0.034255654,0.046506405,0.03401983,0.029418253,0.027909133,0.029521439,0.054291512,0.061503433,0.064707698,0.04177994,0.038251878,0.021147643,0.034627024,0.03275225,0.028109787,0.030162543
"2-[1-[1-hydroxy-10,13-dimethyl-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1h-cyclopenta[a]phenanthren-17-yl]ethyl]-4,5-dimethyl-2,3-dihydropyran-6-one",0.22244416,0.007795245,0.002006214,0.003018495,0.125904217,0.039209768,0.002962141,2.71E-07,0.00480532,0.006732376,0.137253192,0.191981632,2.92E-07,3.22E-07,3.68E-07,0.003899195,0.003647567,3.82E-07,0.004023961,0.004224216,0.013914277,0.00267303,0.003194635,0.007002615,0.205235645,0.001631392,0.00373983,0.002699241
"2-[2-[(z)-pent-2-enyl]-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclopentyl]acetic acid",0.000123663,0.278339133,0.285723325,0.19178196,0.001246076,0.0005794,0.230828573,0.000164692,0.000659713,0.00071396,0.000507904,0.000116415,2.07E-08,0.000194286,2.72E-08,0.000270937,1.98E-08,0.000138664,2.52E-08,2.38E-08,0.001226424,0.00515163,0.000306481,0.000583412,0.000190875,6.89E-05,0.000668125,0.000415304
2-deoxycytidine-5-monophosphoric acid,0.042129007,0.013502222,0.010117098,0.037340391,0.051680443,0.038961847,0.028868156,0.016376462,0.011513864,0.013479479,0.03731309,0.023993744,0.001278094,0.001217475,0.000794069,0.000278893,0.000272566,0.001263979,0.157060792,0.122396544,0.13570036,0.046320722,0.035763581,0.137240842,0.031672131,0.001142696,0.000792609,0.001528846
2-hydroxyisocaproic acid,0.01448594,0.001609549,0.001507439,0.001478035,0.005455235,0.003755263,0.001248078,0.005102915,0.005985342,0.00652678,0.003444998,0.009408855,0.125688734,0.129465977,0.121792439,0.014354441,0.006544051,0.020893067,0.013225791,0.023334985,0.015946822,0.025389843,0.01794879,0.170233444,0.020783233,0.066994315,0.092687384,0.074708257
2-hydroxyquinoline,0.02286571,0.026149039,0.032458558,0.031379483,0.014241475,0.016144505,0.028571348,0.022640487,0.057344831,0.045567625,0.018430261,0.018932577,0.053360706,0.070345062,0.028980478,0.040242844,0.093920548,0.045915637,0.017523123,0.016611498,0.011308419,0.012043295,0.019093228,0.025132157,0.012955178,0.082294502,0.037397498,0.098149936
2-isopropylmalic acid,0.002130804,0.010014933,0.010717715,0.008666725,0.000763963,0.000623879,0.010235939,0.021735314,0.046332121,0.046076415,0.000560933,0.001959566,0.019627287,0.04553608,0.021859807,0.020505734,0.128089836,0.023834733,0.058001503,0.107099243,0.07781217,0.018038131,0.062269629,0.018652002,0.000701968,0.085275539,0.062884266,0.089993766
"2-methyl-3-[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypyran-4-one",0.052659058,0.192257802,0.196061439,0.217779649,0.001401805,0.002018306,0.217631598,0.010192963,0.011128584,0.008298352,0.003692671,0.053752903,6.74E-08,7.35E-08,5.90E-08,8.69E-08,5.95E-08,5.84E-08,8.32E-08,0.000893944,6.90E-08,7.47E-08,7.34E-08,6.03E-08,0.032229944,5.89E-08,7.47E-08,8.22E-08
3'-o-methylguanosine,0.000308848,0.00093301,0.000803939,0.000405523,0.013071999,0.000140083,0.000810085,0.030909436,0.029433061,0.030428046,0.000155832,7.95E-08,0.03926203,0.071425424,0.030381309,0.076015119,0.079988142,0.070854017,0.058619633,0.050980066,0.046704021,0.077524017,0.080561917,0.027992476,0.001606534,0.060405368,0.047867003,0.072412982
"3',5'-dimethoxy-4'-hydroxyacetophenone",0.013180322,0.000987044,0.00053015,0.00228829,0.000867439,0.000602885,0.000569729,0.002614817,0.003020501,0.001484212,0.000994856,0.014217708,0.008839827,0.024830778,0.007782652,0.110191536,0.175564387,0.179556136,0.015972897,0.022678758,0.004352473,0.151256468,0.113551063,0.098067174,0.010836483,0.002549025,0.012844769,0.019767619
"3-(5,7-dimethoxy-4-oxochromen-2-yl)propanoic acid",6.54E-06,0.020176147,0.004164062,0.01513326,5.08E-06,0.023525801,6.37E-06,6.74E-06,6.76E-06,6.33E-06,6.24E-06,0.280699206,6.11E-06,5.20E-06,4.91E-06,4.93E-06,4.66E-06,6.06E-06,6.47E-06,0.050525489,4.77E-06,5.71E-06,5.34E-06,4.95E-06,0.605657102,4.87E-06,6.05E-06,4.84E-06
"3-[(1r,3r,5r,8r,10s,13r,14s,17r)-1,14-dihydroxy-3-[(2s,3s,4r,5s,6r)-3-hydroxy-4-methoxy-6-methyl-5-[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2h-furan-5-one",0.131865577,0.00768663,0.010981375,0.005160452,0.250240402,0.179391569,0.008156107,1.74E-07,2.06E-07,2.27E-07,0.154942267,0.125268478,2.31E-07,2.24E-07,1.72E-07,0.003449917,1.77E-07,2.17E-07,0.003858214,2.24E-07,1.97E-07,0.002963797,0.003457525,1.81E-07,0.102466786,0.003625218,0.003544383,0.002939071
