"Metabolite","Hyd","avg","Category"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HyPep.4601N_1",0.0210925469303322,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HyPep.4601N_2",0.0123505208904535,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HyPep.4601N_3",3.06944057972158e-06,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HyPep.7504_1",0.0483911631513679,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HY.YEST.555_2",2.47239276239156e-06,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HY.YEST.555_3",3.51424222714585e-06,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HyPea.7404_1",0.328837591,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HyPea.7404_2",0.1973572855,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HyPep.7504_2",3.47137303885589e-06,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HyPep.7504_3",0.0180305304454094,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.412_1",0.000609197,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.466_1",0.001561165,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.466_2",0.001128273,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.412_2",0.001489706,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.412_3",0.001011483,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.503_2",0.001501989,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.503_3",0.00206789,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.466_3",0.001328127,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.503_1",0.00150355,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.555_1",0.00924789,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.555_2",0.009467084,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HY.YEST.555_3",0.000663147,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPea.7404_1",0.001305325,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPea.7404_2",0.009408519,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPea.7404_3",0.01151353,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.1510_1",0.012587581,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.1510_2",0.009879142,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.1510_3",0.000882816,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.1510_4",0.008885168,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.4601N_1",0.020078524,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.4601N_2",0.018608363,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.4601N_3",0.018410477,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.7504_1",0.263429443,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.7504_2",0.220403461,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.7504_3",0.307486655,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.YE_1",0.034521112,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.YE_2",0.022637056,"Other"
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid","HyPep.YE_3",0.008383328,"Other"
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one","HyPep.1510_1",1.11495919458858e-06,"Other"
